ID,ID_HECHO,AAAA,ACUSADO
1,2016-0001,2016,AUTO
2,2016-0002,2016,PASAJEROS
3,2016-0003,2016,AUTO
4,2016-0004,2016,
5,2016-0005,2016,PASAJEROS
6,2016-0008,2016,OBJETO FIJO
7,2016-0009,2016,AUTO
8,2016-0010,2016,AUTO
9,2016-0012,2016,CARGAS
10,2016-0013,2016,AUTO
11,2016-0015,2016,AUTO
12,2016-0016,2016,AUTO
13,2016-0017,2016,MOTO
14,2016-0019,2016,PASAJEROS
15,2016-0020,2016,AUTO
16,2016-0021,2016,AUTO
17,2016-0022,2016,AUTO
18,2016-0025,2016,AUTO
19,2016-0026,2016,OBJETO FIJO
20,2016-0027,2016,AUTO
21,2016-0028,2016,CARGAS
22,2016-0029,2016,PASAJEROS
23,2016-0031,2016,PASAJEROS
24,2016-0034,2016,PASAJEROS
25,2016-0035,2016,PASAJEROS
26,2016-0036,2016,PASAJEROS
27,2016-0037,2016,MOTO
28,2016-0038,2016,PASAJEROS
29,2016-0039,2016,PASAJEROS
30,2016-0041,2016,CARGAS
31,2016-0043,2016,CARGAS
32,2016-0044,2016,MULTIPLE
33,2016-0045,2016,
34,2016-0047,2016,PASAJEROS
35,2016-0048,2016,PASAJEROS
36,2016-0049,2016,
37,2016-0050,2016,PASAJEROS
38,2016-0051,2016,CARGAS
39,2016-0052,2016,
40,2016-0053,2016,PASAJEROS
41,2016-0054,2016,MOTO
42,2016-0055,2016,CARGAS
43,2016-0056,2016,OBJETO FIJO
44,2016-0058,2016,MOTO
45,2016-0059,2016,PASAJEROS
46,2016-0064,2016,PASAJEROS
47,2016-0065,2016,AUTO
48,2016-0067,2016,PASAJEROS
49,2016-0068,2016,PASAJEROS
50,2016-0069,2016,CARGAS
51,2016-0073,2016,CARGAS
52,2016-0074,2016,AUTO
53,2016-0075,2016,AUTO
54,2016-0076,2016,PASAJEROS
55,2016-0077,2016,PASAJEROS
56,2016-0078,2016,MOTO
57,2016-0079,2016,AUTO
58,2016-0080,2016,
59,2016-0081,2016,AUTO
60,2016-0082,2016,AUTO
61,2016-0083,2016,MOTO
62,2016-0084,2016,PASAJEROS
63,2016-0085,2016,OTRO
64,2016-0086,2016,PASAJEROS
65,2016-0087,2016,OBJETO FIJO
66,2016-0088,2016,AUTO
67,2016-0089,2016,AUTO
68,2016-0090,2016,PASAJEROS
69,2016-0092,2016,CARGAS
70,2016-0093,2016,AUTO
71,2016-0095,2016,AUTO
72,2016-0096,2016,CARGAS
73,2016-0097,2016,AUTO
74,2016-0098,2016,CARGAS
75,2016-0099,2016,CARGAS
76,2016-0100,2016,OBJETO FIJO
77,2016-0101,2016,
78,2016-0102,2016,CARGAS
79,2016-0104,2016,PASAJEROS
80,2016-0105,2016,PASAJEROS
81,2016-0106,2016,PASAJEROS
82,2016-0107,2016,AUTO
83,2016-0109,2016,OBJETO FIJO
84,2016-0110,2016,
85,2016-0111,2016,CARGAS
86,2016-0112,2016,OBJETO FIJO
87,2016-0113,2016,PASAJEROS
88,2016-0114,2016,CARGAS
89,2016-0115,2016,CARGAS
90,2016-0116,2016,AUTO
91,2016-0117,2016,AUTO
92,2016-0118,2016,AUTO
93,2016-0119,2016,
94,2016-0122,2016,PASAJEROS
95,2016-0123,2016,AUTO
96,2016-0124,2016,PASAJEROS
97,2016-0125,2016,MOTO
98,2016-0126,2016,CARGAS
99,2016-0127,2016,PASAJEROS
100,2016-0128,2016,PASAJEROS
101,2016-0130,2016,CARGAS
102,2016-0131,2016,AUTO
103,2016-0132,2016,PASAJEROS
104,2016-0133,2016,AUTO
105,2016-0134,2016,OBJETO FIJO
106,2016-0135,2016,
107,2016-0136,2016,CARGAS
108,2016-0137,2016,MOTO
109,2016-0138,2016,CARGAS
110,2016-0139,2016,MOTO
111,2016-0140,2016,PASAJEROS
112,2016-0142,2016,PASAJEROS
113,2016-0143,2016,
114,2016-0144,2016,PASAJEROS
115,2016-0145,2016,AUTO
116,2016-0146,2016,PASAJEROS
117,2016-0147,2016,PASAJEROS
118,2016-0148,2016,MOTO
119,2016-0150,2016,CARGAS
120,2016-0151,2016,
121,2016-0152,2016,AUTO
122,2016-0153,2016,MOTO
123,2016-0154,2016,MOTO
124,2016-0155,2016,AUTO
125,2016-0156,2016,PASAJEROS
126,2016-0157,2016,MOTO
127,2016-0159,2016,
128,2016-0160,2016,OBJETO FIJO
129,2016-0161,2016,PASAJEROS
130,2016-0162,2016,AUTO
131,2016-0163,2016,AUTO
132,2016-0164,2016,AUTO
133,2016-0165,2016,PASAJEROS
134,2016-0168,2016,AUTO
135,2016-0169,2016,PASAJEROS
136,2016-0170,2016,AUTO
137,2016-0171,2016,MOTO
138,2016-0172,2016,CARGAS
139,2016-0173,2016,CARGAS
140,2016-0174,2016,
141,2016-0175,2016,BICICLETA
142,2016-0176,2016,PASAJEROS
143,2016-0177,2016,AUTO
144,2016-0178,2016,MULTIPLE
145,2017-0001,2017,CARGAS
146,2017-0003,2017,CARGAS
147,2017-0007,2017,MULTIPLE
148,2017-0008,2017,PASAJEROS
149,2017-0009,2017,CARGAS
150,2017-0010,2017,AUTO
151,2017-0011,2017,OBJETO FIJO
152,2017-0012,2017,CARGAS
153,2017-0013,2017,CARGAS
154,2017-0014,2017,MULTIPLE
155,2017-0015,2017,AUTO
156,2017-0016,2017,CARGAS
157,2017-0017,2017,AUTO
158,2017-0018,2017,AUTO
159,2017-0021,2017,PASAJEROS
160,2017-0024,2017,PASAJEROS
161,2017-0025,2017,
162,2017-0026,2017,OBJETO FIJO
163,2017-0027,2017,AUTO
164,2017-0028,2017,AUTO
165,2017-0029,2017,AUTO
166,2017-0030,2017,PASAJEROS
167,2017-0031,2017,OBJETO FIJO
168,2017-0032,2017,AUTO
169,2017-0033,2017,AUTO
170,2017-0034,2017,AUTO
171,2017-0035,2017,OBJETO FIJO
172,2017-0036,2017,PASAJEROS
173,2017-0037,2017,CARGAS
174,2017-0038,2017,AUTO
175,2017-0040,2017,MULTIPLE
176,2017-0041,2017,AUTO
177,2017-0042,2017,CARGAS
178,2017-0045,2017,OBJETO FIJO
179,2017-0047,2017,AUTO
180,2017-0049,2017,PASAJEROS
181,2017-0050,2017,CARGAS
182,2017-0051,2017,AUTO
183,2017-0052,2017,CARGAS
184,2017-0053,2017,CARGAS
185,2017-0054,2017,AUTO
186,2017-0055,2017,AUTO
187,2017-0058,2017,MOTO
188,2017-0059,2017,PASAJEROS
189,2017-0060,2017,OBJETO FIJO
190,2017-0061,2017,MOTO
191,2017-0062,2017,CARGAS
192,2017-0063,2017,PASAJEROS
193,2017-0064,2017,AUTO
194,2017-0065,2017,CARGAS
195,2017-0066,2017,PASAJEROS
196,2017-0067,2017,CARGAS
197,2017-0068,2017,OBJETO FIJO
198,2017-0069,2017,
199,2017-0070,2017,AUTO
200,2017-0072,2017,AUTO
201,2017-0073,2017,AUTO
202,2017-0074,2017,
203,2017-0075,2017,MOTO
204,2017-0076,2017,CARGAS
205,2017-0077,2017,CARGAS
206,2017-0079,2017,CARGAS
207,2017-0080,2017,CARGAS
208,2017-0082,2017,AUTO
209,2017-0083,2017,CARGAS
210,2017-0084,2017,PASAJEROS
211,2017-0085,2017,PASAJEROS
212,2017-0086,2017,MOTO
213,2017-0087,2017,AUTO
214,2017-0088,2017,PASAJEROS
215,2017-0089,2017,AUTO
216,2017-0090,2017,AUTO
217,2017-0091,2017,
218,2017-0092,2017,AUTO
219,2017-0093,2017,AUTO
220,2017-0094,2017,CARGAS
221,2017-0095,2017,AUTO
222,2017-0096,2017,PASAJEROS
223,2017-0098,2017,AUTO
224,2017-0099,2017,AUTO
225,2017-0100,2017,OBJETO FIJO
226,2017-0101,2017,MULTIPLE
227,2017-0102,2017,CARGAS
228,2017-0104,2017,CARGAS
229,2017-0106,2017,PASAJEROS
230,2017-0107,2017,CARGAS
231,2017-0108,2017,AUTO
232,2017-0109,2017,AUTO
233,2017-0110,2017,PASAJEROS
234,2017-0111,2017,CARGAS
235,2017-0112,2017,OBJETO FIJO
236,2017-0113,2017,PASAJEROS
237,2017-0114,2017,OBJETO FIJO
238,2017-0115,2017,BICICLETA
239,2017-0116,2017,OBJETO FIJO
240,2017-0118,2017,AUTO
241,2017-0120,2017,CARGAS
242,2017-0123,2017,AUTO
243,2017-0124,2017,PASAJEROS
244,2017-0125,2017,OBJETO FIJO
245,2017-0126,2017,OBJETO FIJO
246,2017-0127,2017,MOTO
247,2017-0128,2017,PASAJEROS
248,2017-0129,2017,PASAJEROS
249,2017-0130,2017,CARGAS
250,2017-0132,2017,PASAJEROS
251,2017-0134,2017,PASAJEROS
252,2017-0135,2017,CARGAS
253,2017-0136,2017,PASAJEROS
254,2017-0137,2017,CARGAS
255,2017-0138,2017,OBJETO FIJO
256,2017-0139,2017,OBJETO FIJO
257,2017-0140,2017,PASAJEROS
258,2017-0141,2017,PASAJEROS
259,2017-0143,2017,PASAJEROS
260,2017-0144,2017,OBJETO FIJO
261,2017-0145,2017,AUTO
262,2017-0147,2017,AUTO
263,2017-0148,2017,PASAJEROS
264,2017-0149,2017,PASAJEROS
265,2017-0150,2017,AUTO
266,2017-0151,2017,PASAJEROS
267,2017-0152,2017,PASAJEROS
268,2017-0153,2017,PASAJEROS
269,2017-0154,2017,PASAJEROS
270,2017-0155,2017,MOTO
271,2017-0157,2017,PASAJEROS
272,2017-0158,2017,AUTO
273,2017-0159,2017,AUTO
274,2017-0160,2017,MOTO
275,2017-0161,2017,AUTO
276,2018-0001,2018,MOTO
277,2018-0002,2018,PASAJEROS
278,2018-0003,2018,MULTIPLE
279,2018-0004,2018,MULTIPLE
280,2018-0005,2018,PASAJEROS
281,2018-0006,2018,PASAJEROS
282,2018-0007,2018,AUTO
283,2018-0008,2018,CARGAS
284,2018-0009,2018,MOTO
285,2018-0010,2018,CARGAS
286,2018-0011,2018,PASAJEROS
287,2018-0012,2018,PASAJEROS
288,2018-0013,2018,AUTO
289,2018-0014,2018,MOTO
290,2018-0015,2018,PASAJEROS
291,2018-0016,2018,CARGAS
292,2018-0017,2018,AUTO
293,2018-0018,2018,CARGAS
294,2018-0019,2018,PASAJEROS
295,2018-0020,2018,CARGAS
296,2018-0021,2018,PASAJEROS
297,2018-0022,2018,CARGAS
298,2018-0023,2018,AUTO
299,2018-0024,2018,CARGAS
300,2018-0025,2018,AUTO
301,2018-0026,2018,CARGAS
302,2018-0027,2018,MOTO
303,2018-0028,2018,CARGAS
304,2018-0029,2018,AUTO
305,2018-0030,2018,MOTO
306,2018-0031,2018,CARGAS
307,2018-0032,2018,PASAJEROS
308,2018-0033,2018,CARGAS
309,2018-0034,2018,PASAJEROS
310,2018-0035,2018,PASAJEROS
311,2018-0036,2018,AUTO
312,2018-0037,2018,CARGAS
313,2018-0038,2018,AUTO
314,2018-0039,2018,AUTO
315,2018-0040,2018,CARGAS
316,2018-0041,2018,PASAJEROS
317,2018-0042,2018,CARGAS
318,2018-0043,2018,AUTO
319,2018-0044,2018,AUTO
320,2018-0045,2018,CARGAS
321,2018-0046,2018,AUTO
322,2018-0047,2018,PASAJEROS
323,2018-0048,2018,PASAJEROS
324,2018-0049,2018,AUTO
325,2018-0050,2018,PASAJEROS
326,2018-0051,2018,AUTO
327,2018-0052,2018,PASAJEROS
328,2018-0053,2018,AUTO
329,2018-0054,2018,BICICLETA
330,2018-0055,2018,AUTO
331,2018-0056,2018,PASAJEROS
332,2018-0057,2018,PASAJEROS
333,2018-0058,2018,AUTO
334,2018-0059,2018,OTRO
335,2018-0060,2018,PASAJEROS
336,2018-0061,2018,MOTO
337,2018-0062,2018,CARGAS
338,2018-0063,2018,PASAJEROS
339,2018-0064,2018,CARGAS
340,2018-0065,2018,CARGAS
341,2018-0066,2018,PASAJEROS
342,2018-0067,2018,AUTO
343,2018-0068,2018,AUTO
344,2018-0069,2018,PASAJEROS
345,2018-0070,2018,PASAJEROS
346,2018-0071,2018,CARGAS
347,2018-0072,2018,CARGAS
348,2018-0073,2018,CARGAS
349,2018-0074,2018,CARGAS
350,2018-0075,2018,AUTO
351,2018-0076,2018,CARGAS
352,2018-0077,2018,CARGAS
353,2018-0078,2018,AUTO
354,2018-0079,2018,CARGAS
355,2018-0080,2018,AUTO
356,2018-0081,2018,MULTIPLE
357,2018-0082,2018,CARGAS
358,2018-0083,2018,CARGAS
359,2018-0084,2018,CARGAS
360,2018-0085,2018,PASAJEROS
361,2018-0086,2018,PASAJEROS
362,2018-0087,2018,PASAJEROS
363,2018-0088,2018,CARGAS
364,2018-0089,2018,PASAJEROS
365,2018-0090,2018,AUTO
366,2018-0091,2018,AUTO
367,2018-0092,2018,AUTO
368,2018-0093,2018,PASAJEROS
369,2018-0094,2018,PASAJEROS
370,2018-0095,2018,AUTO
371,2018-0096,2018,AUTO
372,2018-0097,2018,OTRO
373,2018-0098,2018,AUTO
374,2018-0099,2018,PASAJEROS
375,2018-0100,2018,AUTO
376,2018-0101,2018,MULTIPLE
377,2018-0102,2018,AUTO
378,2018-0103,2018,MOTO
379,2018-0104,2018,MOTO
380,2018-0105,2018,PASAJEROS
381,2018-0106,2018,MOTO
382,2018-0107,2018,PASAJEROS
383,2018-0108,2018,AUTO
384,2018-0109,2018,PASAJEROS
385,2018-0110,2018,MOTO
386,2018-0111,2018,CARGAS
387,2018-0112,2018,CARGAS
388,2018-0113,2018,CARGAS
389,2018-0114,2018,AUTO
390,2018-0115,2018,PASAJEROS
391,2018-0116,2018,CARGAS
392,2018-0117,2018,MOTO
393,2018-0118,2018,MOTO
394,2018-0119,2018,
395,2018-0120,2018,AUTO
396,2018-0121,2018,PASAJEROS
397,2018-0122,2018,AUTO
398,2018-0123,2018,
399,2018-0124,2018,CARGAS
400,2018-0125,2018,PASAJEROS
401,2018-0126,2018,AUTO
402,2018-0127,2018,MOTO
403,2018-0128,2018,PASAJEROS
404,2018-0129,2018,PASAJEROS
405,2018-0130,2018,PASAJEROS
406,2018-0131,2018,CARGAS
407,2018-0132,2018,CARGAS
408,2018-0133,2018,CARGAS
409,2018-0134,2018,MOTO
410,2018-0135,2018,PASAJEROS
411,2018-0136,2018,PASAJEROS
412,2018-0137,2018,PASAJEROS
413,2018-0138,2018,PASAJEROS
414,2018-0139,2018,MOTO
415,2018-0140,2018,AUTO
416,2018-0141,2018,MOTO
417,2018-0142,2018,PASAJEROS
418,2018-0143,2018,AUTO
419,2019-0001,2019,CARGAS
420,2019-0002,2019,CARGAS
421,2019-0003,2019,AUTO
422,2019-0004,2019,PASAJEROS
423,2019-0005,2019,CARGAS
424,2019-0006,2019,AUTO
425,2019-0007,2019,AUTO
426,2019-0008,2019,MULTIPLE
427,2019-0009,2019,AUTO
428,2019-0010,2019,AUTO
429,2019-0011,2019,AUTO
430,2019-0012,2019,AUTO
431,2019-0013,2019,AUTO
432,2019-0014,2019,OBJETO FIJO
433,2019-0015,2019,OBJETO FIJO
434,2019-0016,2019,PASAJEROS
435,2019-0017,2019,PASAJEROS
436,2019-0018,2019,AUTO
437,2019-0019,2019,AUTO
438,2019-0020,2019,AUTO
439,2019-0021,2019,AUTO
440,2019-0022,2019,
441,2019-0023,2019,OBJETO FIJO
442,2019-0024,2019,CARGAS
443,2019-0025,2019,AUTO
444,2019-0026,2019,PASAJEROS
445,2019-0027,2019,MULTIPLE
446,2019-0028,2019,PASAJEROS
447,2019-0029,2019,OBJETO FIJO
448,2019-0030,2019,CARGAS
449,2019-0031,2019,CARGAS
450,2019-0032,2019,AUTO
451,2019-0033,2019,
452,2019-0034,2019,OBJETO FIJO
453,2019-0035,2019,BICICLETA
454,2019-0036,2019,AUTO
455,2019-0037,2019,AUTO
456,2019-0038,2019,MOTO
457,2019-0039,2019,AUTO
458,2019-0040,2019,
459,2019-0041,2019,MULTIPLE
460,2019-0042,2019,PASAJEROS
461,2019-0043,2019,CARGAS
462,2019-0044,2019,MOTO
463,2019-0045,2019,CARGAS
464,2019-0046,2019,AUTO
465,2019-0047,2019,CARGAS
466,2019-0048,2019,CARGAS
467,2019-0049,2019,CARGAS
468,2019-0050,2019,CARGAS
469,2019-0051,2019,AUTO
470,2019-0053,2019,AUTO
471,2019-0054,2019,OBJETO FIJO
472,2019-0055,2019,PASAJEROS
473,2019-0056,2019,AUTO
474,2019-0057,2019,AUTO
475,2019-0058,2019,PASAJEROS
476,2019-0059,2019,PASAJEROS
477,2019-0060,2019,AUTO
478,2019-0061,2019,PASAJEROS
479,2019-0062,2019,PASAJEROS
480,2019-0063,2019,PASAJEROS
481,2019-0064,2019,AUTO
482,2019-0065,2019,PASAJEROS
483,2019-0066,2019,AUTO
484,2019-0067,2019,CARGAS
485,2019-0068,2019,MOTO
486,2019-0069,2019,AUTO
487,2019-0070,2019,BICICLETA
488,2019-0071,2019,CARGAS
489,2019-0072,2019,AUTO
490,2019-0073,2019,OBJETO FIJO
491,2019-0074,2019,CARGAS
492,2019-0075,2019,PASAJEROS
493,2019-0076,2019,CARGAS
494,2019-0077,2019,AUTO
495,2019-0078,2019,CARGAS
496,2019-0079,2019,PASAJEROS
497,2019-0080,2019,MOTO
498,2019-0081,2019,PASAJEROS
499,2019-0082,2019,CARGAS
500,2019-0083,2019,AUTO
501,2019-0084,2019,CARGAS
502,2019-0085,2019,TREN
503,2019-0086,2019,PASAJEROS
504,2019-0087,2019,MOTO
505,2019-0088,2019,PASAJEROS
506,2019-0089,2019,CARGAS
507,2019-0090,2019,MOTO
508,2019-0091,2019,PASAJEROS
509,2019-0092,2019,PASAJEROS
510,2019-0093,2019,OTRO
511,2019-0094,2019,OTRO
512,2019-0095,2019,CARGAS
513,2019-0096,2019,PASAJEROS
514,2019-0097,2019,MULTIPLE
515,2019-0098,2019,PASAJEROS
516,2019-0100,2019,AUTO
517,2019-0101,2019,MOTO
518,2019-0102,2019,AUTO
519,2019-0103,2019,MOTO
520,2019-0104,2019,AUTO
521,2019-0105,2019,AUTO
522,2020-0001,2020,AUTO
523,2020-0002,2020,OBJETO FIJO
524,2020-0003,2020,AUTO
525,2020-0004,2020,PASAJEROS
526,2020-0005,2020,PASAJEROS
527,2020-0006,2020,CARGAS
528,2020-0007,2020,MOTO
529,2020-0008,2020,CARGAS
530,2020-0009,2020,AUTO
531,2020-0010,2020,OBJETO FIJO
532,2020-0011,2020,CARGAS
533,2020-0012,2020,MOTO
534,2020-0013,2020,MOTO
535,2020-0014,2020,PASAJEROS
536,2020-0015,2020,PASAJEROS
537,2020-0016,2020,PASAJEROS
538,2020-0017,2020,AUTO
539,2020-0018,2020,OBJETO FIJO
540,2020-0019,2020,AUTO
541,2020-0020,2020,MOTO
542,2020-0021,2020,AUTO
543,2020-0022,2020,CARGAS
544,2020-0023,2020,CARGAS
545,2020-0024,2020,AUTO
546,2020-0025,2020,AUTO
547,2020-0026,2020,OBJETO FIJO
548,2020-0027,2020,CARGAS
549,2020-0028,2020,PASAJEROS
550,2020-0029,2020,PASAJEROS
551,2020-0030,2020,MULTIPLE
552,2020-0031,2020,CARGAS
553,2020-0032,2020,AUTO
554,2020-0033,2020,OBJETO FIJO
555,2020-0034,2020,AUTO
556,2020-0035,2020,PASAJEROS
557,2020-0036,2020,MOTO
558,2020-0037,2020,AUTO
559,2020-0038,2020,AUTO
560,2020-0039,2020,CARGAS
561,2020-0040,2020,OBJETO FIJO
562,2020-0041,2020,PASAJEROS
563,2020-0042,2020,PASAJEROS
564,2020-0043,2020,PASAJEROS
565,2020-0044,2020,AUTO
566,2020-0045,2020,CARGAS
567,2020-0046,2020,MOTO
568,2020-0047,2020,CARGAS
569,2020-0048,2020,OBJETO FIJO
570,2020-0049,2020,AUTO
571,2020-0050,2020,MOTO
572,2020-0051,2020,AUTO
573,2020-0052,2020,CARGAS
574,2020-0053,2020,AUTO
575,2020-0054,2020,AUTO
576,2020-0055,2020,CARGAS
577,2020-0056,2020,CARGAS
578,2020-0057,2020,AUTO
579,2020-0058,2020,AUTO
580,2020-0059,2020,PASAJEROS
581,2020-0060,2020,MOTO
582,2020-0061,2020,CARGAS
583,2020-0062,2020,PASAJEROS
584,2020-0063,2020,MOTO
585,2020-0065,2020,AUTO
586,2020-0066,2020,OBJETO FIJO
587,2020-0067,2020,PASAJEROS
588,2020-0068,2020,AUTO
589,2020-0069,2020,PASAJEROS
590,2020-0070,2020,PASAJEROS
591,2020-0071,2020,AUTO
592,2020-0072,2020,AUTO
593,2020-0073,2020,OBJETO FIJO
594,2020-0074,2020,AUTO
595,2020-0075,2020,PASAJEROS
596,2020-0076,2020,PASAJEROS
597,2020-0077,2020,AUTO
598,2020-0078,2020,PASAJEROS
599,2020-0079,2020,OBJETO FIJO
600,2021-0001,2021,AUTO
601,2021-0002,2021,CARGAS
602,2021-0003,2021,OBJETO FIJO
603,2021-0004,2021,CARGAS
604,2021-0005,2021,AUTO
605,2021-0006,2021,CARGAS
606,2021-0007,2021,MOTO
607,2021-0008,2021,PASAJEROS
608,2021-0009,2021,OBJETO FIJO
609,2021-0010,2021,AUTO
610,2021-0011,2021,AUTO
611,2021-0012,2021,AUTO
612,2021-0013,2021,OBJETO FIJO
613,2021-0014,2021,AUTO
614,2021-0015,2021,OBJETO FIJO
615,2021-0016,2021,OBJETO FIJO
616,2021-0017,2021,PASAJEROS
617,2021-0018,2021,AUTO
618,2021-0019,2021,OBJETO FIJO
619,2021-0020,2021,CARGAS
620,2021-0021,2021,OBJETO FIJO
621,2021-0022,2021,
622,2021-0023,2021,CARGAS
623,2021-0024,2021,CARGAS
624,2021-0025,2021,OTRO
625,2021-0026,2021,OBJETO FIJO
626,2021-0027,2021,CARGAS
627,2021-0028,2021,PASAJEROS
628,2021-0029,2021,AUTO
629,2021-0030,2021,PASAJEROS
630,2021-0031,2021,CARGAS
631,2021-0032,2021,MOTO
632,2021-0033,2021,OBJETO FIJO
633,2021-0034,2021,CARGAS
634,2021-0035,2021,CARGAS
635,2021-0036,2021,OBJETO FIJO
636,2021-0037,2021,PASAJEROS
637,2021-0038,2021,CARGAS
638,2021-0039,2021,AUTO
639,2021-0040,2021,AUTO
640,2021-0041,2021,PASAJEROS
641,2021-0042,2021,PASAJEROS
642,2021-0043,2021,AUTO
643,2021-0044,2021,OBJETO FIJO
644,2021-0045,2021,MULTIPLE
645,2021-0046,2021,OBJETO FIJO
646,2021-0047,2021,AUTO
647,2021-0048,2021,AUTO
648,2021-0049,2021,AUTO
649,2021-0050,2021,PASAJEROS
650,2021-0051,2021,CARGAS
651,2021-0052,2021,OBJETO FIJO
652,2021-0053,2021,BICICLETA
653,2021-0054,2021,CARGAS
654,2021-0055,2021,CARGAS
655,2021-0056,2021,AUTO
656,2021-0057,2021,OBJETO FIJO
657,2021-0058,2021,AUTO
658,2021-0059,2021,OBJETO FIJO
659,2021-0060,2021,PASAJEROS
660,2021-0061,2021,CARGAS
661,2021-0062,2021,CARGAS
662,2021-0063,2021,AUTO
663,2021-0064,2021,CARGAS
664,2021-0065,2021,PASAJEROS
665,2021-0066,2021,PASAJEROS
666,2021-0067,2021,OBJETO FIJO
667,2021-0068,2021,OBJETO FIJO
668,2021-0069,2021,AUTO
669,2021-0070,2021,CARGAS
670,2021-0071,2021,MOTO
671,2021-0072,2021,AUTO
672,2021-0073,2021,AUTO
673,2021-0074,2021,MULTIPLE
674,2021-0075,2021,CARGAS
675,2021-0076,2021,OBJETO FIJO
676,2021-0077,2021,CARGAS
677,2021-0078,2021,PASAJEROS
678,2021-0079,2021,AUTO
679,2021-0080,2021,AUTO
680,2021-0081,2021,CARGAS
681,2021-0082,2021,AUTO
682,2021-0083,2021,AUTO
683,2021-0084,2021,OBJETO FIJO
684,2021-0085,2021,OBJETO FIJO
685,2021-0086,2021,PASAJEROS
686,2021-0087,2021,BICICLETA
687,2021-0088,2021,AUTO
688,2021-0089,2021,AUTO
689,2021-0090,2021,PASAJEROS
690,2021-0091,2021,AUTO
691,2021-0092,2021,AUTO
692,2021-0093,2021,AUTO
693,2021-0094,2021,AUTO
694,2021-0095,2021,CARGAS
695,2021-0096,2021,CARGAS
696,2021-0097,2021,AUTO
