ID,ID_HECHO,FECHA,ROL
1,2016-0001,2016-01-01,CONDUCTOR
2,2016-0002,2016-01-02,CONDUCTOR
3,2016-0003,2016-01-03,CONDUCTOR
4,2016-0004,2016-01-10,CONDUCTOR
5,2016-0005,2016-01-21,CONDUCTOR
6,2016-0008,2016-01-24,CONDUCTOR
7,2016-0009,2016-01-24,PASAJERO_ACOMPANANTE
8,2016-0010,2016-01-29,CONDUCTOR
9,2016-0012,2016-02-08,CONDUCTOR
10,2016-0013,2016-02-10,PEATON
11,2016-0015,2016-02-14,PEATON
12,2016-0016,2016-02-14,PASAJERO_ACOMPANANTE
13,2016-0017,2016-02-15,PEATON
14,2016-0019,2016-02-17,PEATON
15,2016-0020,2016-02-17,PEATON
16,2016-0021,2016-02-17,CONDUCTOR
17,2016-0022,2016-02-21,PASAJERO_ACOMPANANTE
18,2016-0025,2016-02-28,PASAJERO_ACOMPANANTE
19,2016-0026,2016-02-28,CONDUCTOR
20,2016-0027,2016-02-28,PASAJERO_ACOMPANANTE
21,2016-0028,2016-03-02,PEATON
22,2016-0029,2016-03-04,PEATON
23,2016-0031,2016-03-08,CONDUCTOR
24,2016-0034,2016-03-12,PEATON
25,2016-0035,2016-03-13,CONDUCTOR
26,2016-0036,2016-03-14,PASAJERO_ACOMPANANTE
27,2016-0037,2016-03-19,CONDUCTOR
28,2016-0038,2016-03-21,PEATON
29,2016-0039,2016-03-23,CONDUCTOR
30,2016-0041,2016-03-29,CONDUCTOR
31,2016-0041,2016-03-29,PASAJERO_ACOMPANANTE
32,2016-0043,2016-03-30,PEATON
33,2016-0044,2016-03-31,CONDUCTOR
34,2016-0045,2016-04-11,CONDUCTOR
35,2016-0047,2016-04-15,PEATON
36,2016-0048,2016-04-15,PEATON
37,2016-0049,2016-04-17,
38,2016-0050,2016-04-19,PEATON
39,2016-0051,2016-04-20,CONDUCTOR
40,2016-0052,2016-04-20,
41,2016-0053,2016-04-22,PEATON
42,2016-0054,2016-04-23,CONDUCTOR
43,2016-0055,2016-04-25,PEATON
44,2016-0056,2016-04-26,CONDUCTOR
45,2016-0058,2016-05-04,PEATON
46,2016-0059,2016-05-08,PEATON
47,2016-0064,2016-05-14,PEATON
48,2016-0065,2016-05-20,PEATON
49,2016-0067,2016-05-21,PASAJERO_ACOMPANANTE
50,2016-0068,2016-05-22,CONDUCTOR
51,2016-0069,2016-05-23,CONDUCTOR
52,2016-0073,2016-06-11,CONDUCTOR
53,2016-0074,2016-06-12,CONDUCTOR
54,2016-0075,2016-06-12,PEATON
55,2016-0076,2016-06-13,PEATON
56,2016-0077,2016-06-13,PEATON
57,2016-0078,2016-06-13,CONDUCTOR
58,2016-0079,2016-06-16,CONDUCTOR
59,2016-0080,2016-06-18,CONDUCTOR
60,2016-0081,2016-06-22,CONDUCTOR
61,2016-0082,2016-06-27,PEATON
62,2016-0083,2016-06-28,PEATON
63,2016-0084,2016-06-29,PEATON
64,2016-0085,2016-06-29,
65,2016-0086,2016-06-30,PEATON
66,2016-0087,2016-07-03,CONDUCTOR
67,2016-0088,2016-07-11,PEATON
68,2016-0089,2016-07-14,PEATON
69,2016-0090,2016-07-14,PEATON
70,2016-0092,2016-07-15,CONDUCTOR
71,2016-0093,2016-07-17,CONDUCTOR
72,2016-0095,2016-07-23,CONDUCTOR
73,2016-0096,2016-07-25,CONDUCTOR
74,2016-0097,2016-07-26,PEATON
75,2016-0098,2016-07-27,CONDUCTOR
76,2016-0099,2016-07-29,CONDUCTOR
77,2016-0100,2016-08-03,CONDUCTOR
78,2016-0101,2016-08-07,
79,2016-0102,2016-08-10,CONDUCTOR
80,2016-0104,2016-08-14,CONDUCTOR
81,2016-0105,2016-08-17,PEATON
82,2016-0106,2016-08-19,PEATON
83,2016-0107,2016-08-20,CONDUCTOR
84,2016-0109,2016-08-24,CONDUCTOR
85,2016-0110,2016-08-24,PEATON
86,2016-0111,2016-08-25,CONDUCTOR
87,2016-0112,2016-08-27,CONDUCTOR
88,2016-0113,2016-08-27,PEATON
89,2016-0114,2016-08-31,CICLISTA
90,2016-0115,2016-09-02,
91,2016-0116,2016-09-02,CONDUCTOR
92,2016-0117,2016-09-03,CONDUCTOR
93,2016-0118,2016-09-04,CONDUCTOR
94,2016-0119,2016-09-04,PASAJERO_ACOMPANANTE
95,2016-0122,2016-09-13,CICLISTA
96,2016-0123,2016-09-14,CONDUCTOR
97,2016-0124,2016-09-16,PEATON
98,2016-0125,2016-09-17,CONDUCTOR
99,2016-0126,2016-09-18,CONDUCTOR
100,2016-0126,2016-09-18,PASAJERO_ACOMPANANTE
101,2016-0127,2016-09-24,PEATON
102,2016-0128,2016-10-02,PEATON
103,2016-0130,2016-10-04,CONDUCTOR
104,2016-0131,2016-10-09,PEATON
105,2016-0132,2016-10-10,PASAJERO_ACOMPANANTE
106,2016-0133,2016-10-14,CONDUCTOR
107,2016-0134,2016-10-23,CONDUCTOR
108,2016-0135,2016-10-24,PEATON
109,2016-0136,2016-10-25,CONDUCTOR
110,2016-0137,2016-10-25,CONDUCTOR
111,2016-0138,2016-10-27,CICLISTA
112,2016-0139,2016-10-28,PASAJERO_ACOMPANANTE
113,2016-0140,2016-10-31,PASAJERO_ACOMPANANTE
114,2016-0142,2016-11-05,CONDUCTOR
115,2016-0143,2016-11-06,CONDUCTOR
116,2016-0144,2016-11-07,PEATON
117,2016-0145,2016-11-07,CONDUCTOR
118,2016-0146,2016-11-09,PEATON
119,2016-0147,2016-11-16,PASAJERO_ACOMPANANTE
120,2016-0148,2016-11-16,CONDUCTOR
121,2016-0150,2016-11-18,PASAJERO_ACOMPANANTE
122,2016-0151,2016-11-18,PEATON
123,2016-0152,2016-11-23,CONDUCTOR
124,2016-0153,2016-11-25,PEATON
125,2016-0154,2016-11-26,CONDUCTOR
126,2016-0155,2016-11-26,PEATON
127,2016-0156,2016-11-26,CONDUCTOR
128,2016-0157,2016-12-03,CONDUCTOR
129,2016-0159,2016-12-04,CONDUCTOR
130,2016-0160,2016-12-06,CONDUCTOR
131,2016-0161,2016-12-06,PEATON
132,2016-0162,2016-12-07,PEATON
133,2016-0163,2016-12-10,CONDUCTOR
134,2016-0164,2016-12-11,CONDUCTOR
135,2016-0165,2016-12-12,CICLISTA
136,2016-0168,2016-12-13,CONDUCTOR
137,2016-0169,2016-12-15,CONDUCTOR
138,2016-0170,2016-12-19,PASAJERO_ACOMPANANTE
139,2016-0171,2016-12-25,CONDUCTOR
140,2016-0172,2016-12-26,CONDUCTOR
141,2016-0173,2016-12-26,CONDUCTOR
142,2016-0174,2016-12-27,
143,2016-0175,2016-12-27,PEATON
144,2016-0176,2016-12-28,CONDUCTOR
145,2016-0177,2016-12-29,PEATON
146,2016-0178,2016-12-30,PEATON
147,2017-0001,2017-01-02,CONDUCTOR
148,2017-0003,2017-01-05,PASAJERO_ACOMPANANTE
149,2017-0007,2017-01-11,PEATON
150,2017-0008,2017-01-16,CONDUCTOR
151,2017-0009,2017-01-16,CONDUCTOR
152,2017-0010,2017-01-16,CONDUCTOR
153,2017-0011,2017-01-22,PASAJERO_ACOMPANANTE
154,2017-0012,2017-01-24,CONDUCTOR
155,2017-0013,2017-01-27,PEATON
156,2017-0014,2017-01-28,PASAJERO_ACOMPANANTE
157,2017-0015,2017-02-02,PEATON
158,2017-0016,2017-02-03,CONDUCTOR
159,2017-0017,2017-02-06,CONDUCTOR
160,2017-0018,2017-02-09,CONDUCTOR
161,2017-0021,2017-02-18,CONDUCTOR
162,2017-0024,2017-02-23,PEATON
163,2017-0025,2017-02-24,CONDUCTOR
164,2017-0026,2017-02-26,PASAJERO_ACOMPANANTE
165,2017-0026,2017-02-26,CONDUCTOR
166,2017-0027,2017-02-26,PEATON
167,2017-0028,2017-02-28,PEATON
168,2017-0029,2017-03-07,
169,2017-0030,2017-03-07,CONDUCTOR
170,2017-0031,2017-03-11,PASAJERO_ACOMPANANTE
171,2017-0032,2017-03-12,PASAJERO_ACOMPANANTE
172,2017-0033,2017-03-12,CONDUCTOR
173,2017-0034,2017-03-13,PEATON
174,2017-0035,2017-03-23,CONDUCTOR
175,2017-0035,2017-03-23,PASAJERO_ACOMPANANTE
176,2017-0035,2017-03-23,PASAJERO_ACOMPANANTE
177,2017-0036,2017-03-29,PASAJERO_ACOMPANANTE
178,2017-0036,2017-03-29,CONDUCTOR
179,2017-0037,2017-03-31,CONDUCTOR
180,2017-0038,2017-04-01,CONDUCTOR
181,2017-0040,2017-04-03,CONDUCTOR
182,2017-0041,2017-04-03,CONDUCTOR
183,2017-0042,2017-04-10,CONDUCTOR
184,2017-0045,2017-04-14,CONDUCTOR
185,2017-0047,2017-04-23,CONDUCTOR
186,2017-0049,2017-04-27,PEATON
187,2017-0050,2017-04-28,CONDUCTOR
188,2017-0050,2017-04-28,PASAJERO_ACOMPANANTE
189,2017-0051,2017-05-01,CONDUCTOR
190,2017-0052,2017-05-05,PEATON
191,2017-0053,2017-05-05,CONDUCTOR
192,2017-0054,2017-05-07,PASAJERO_ACOMPANANTE
193,2017-0055,2017-05-09,CONDUCTOR
194,2017-0058,2017-05-09,PEATON
195,2017-0059,2017-05-11,PEATON
196,2017-0060,2017-05-13,PASAJERO_ACOMPANANTE
197,2017-0061,2017-05-15,PEATON
198,2017-0062,2017-05-15,CONDUCTOR
199,2017-0063,2017-05-17,PEATON
200,2017-0064,2017-05-20,PASAJERO_ACOMPANANTE
201,2017-0065,2017-05-22,CICLISTA
202,2017-0066,2017-05-22,PEATON
203,2017-0067,2017-05-23,CONDUCTOR
204,2017-0068,2017-05-27,CONDUCTOR
205,2017-0069,2017-05-29,CONDUCTOR
206,2017-0070,2017-05-30,PEATON
207,2017-0072,2017-06-03,CONDUCTOR
208,2017-0073,2017-06-04,CONDUCTOR
209,2017-0074,2017-06-04,
210,2017-0075,2017-06-12,PEATON
211,2017-0076,2017-06-13,PEATON
212,2017-0077,2017-06-17,CONDUCTOR
213,2017-0079,2017-06-19,CONDUCTOR
214,2017-0080,2017-06-22,PEATON
215,2017-0082,2017-06-25,PEATON
216,2017-0083,2017-07-04,CONDUCTOR
217,2017-0084,2017-07-05,PEATON
218,2017-0085,2017-07-07,PEATON
219,2017-0086,2017-07-09,PEATON
220,2017-0087,2017-07-10,PEATON
221,2017-0088,2017-07-10,PEATON
222,2017-0089,2017-07-13,
223,2017-0090,2017-07-15,PEATON
224,2017-0091,2017-07-15,CONDUCTOR
225,2017-0092,2017-07-24,PEATON
226,2017-0093,2017-07-25,PEATON
227,2017-0094,2017-07-27,CICLISTA
228,2017-0095,2017-08-06,CONDUCTOR
229,2017-0096,2017-08-07,PEATON
230,2017-0098,2017-08-08,PEATON
231,2017-0099,2017-08-17,CICLISTA
232,2017-0100,2017-08-21,PASAJERO_ACOMPANANTE
233,2017-0101,2017-08-23,PEATON
234,2017-0102,2017-08-24,PEATON
235,2017-0104,2017-08-25,PEATON
236,2017-0106,2017-08-31,PEATON
237,2017-0107,2017-09-01,CONDUCTOR
238,2017-0108,2017-09-02,PASAJERO_ACOMPANANTE
239,2017-0108,2017-09-02,PASAJERO_ACOMPANANTE
240,2017-0109,2017-09-04,CONDUCTOR
241,2017-0110,2017-09-06,PEATON
242,2017-0111,2017-09-07,PEATON
243,2017-0112,2017-09-10,PASAJERO_ACOMPANANTE
244,2017-0112,2017-09-10,PASAJERO_ACOMPANANTE
245,2017-0113,2017-09-11,PEATON
246,2017-0114,2017-09-15,CONDUCTOR
247,2017-0115,2017-09-19,CONDUCTOR
248,2017-0116,2017-09-20,CONDUCTOR
249,2017-0118,2017-09-22,PASAJERO_ACOMPANANTE
250,2017-0120,2017-10-02,CONDUCTOR
251,2017-0123,2017-10-10,PEATON
252,2017-0124,2017-10-12,CONDUCTOR
253,2017-0125,2017-10-13,CONDUCTOR
254,2017-0126,2017-10-14,PASAJERO_ACOMPANANTE
255,2017-0126,2017-10-14,CONDUCTOR
256,2017-0127,2017-10-16,PASAJERO_ACOMPANANTE
257,2017-0128,2017-10-17,PEATON
258,2017-0129,2017-10-26,CONDUCTOR
259,2017-0130,2017-10-27,CONDUCTOR
260,2017-0132,2017-10-30,CONDUCTOR
261,2017-0134,2017-11-06,PEATON
262,2017-0135,2017-11-07,CONDUCTOR
263,2017-0136,2017-11-16,PEATON
264,2017-0137,2017-11-17,PEATON
265,2017-0138,2017-11-19,PASAJERO_ACOMPANANTE
266,2017-0139,2017-11-19,PASAJERO_ACOMPANANTE
267,2017-0140,2017-11-19,CONDUCTOR
268,2017-0141,2017-11-23,PEATON
269,2017-0143,2017-11-25,CONDUCTOR
270,2017-0144,2017-11-26,PASAJERO_ACOMPANANTE
271,2017-0145,2017-11-26,CONDUCTOR
272,2017-0147,2017-11-28,CONDUCTOR
273,2017-0148,2017-11-29,PEATON
274,2017-0149,2017-11-30,PEATON
275,2017-0150,2017-12-04,PEATON
276,2017-0151,2017-12-04,PEATON
277,2017-0152,2017-12-06,CICLISTA
278,2017-0153,2017-12-11,PASAJERO_ACOMPANANTE
279,2017-0153,2017-12-11,CONDUCTOR
280,2017-0154,2017-12-11,PEATON
281,2017-0155,2017-12-12,
282,2017-0157,2017-12-17,CONDUCTOR
283,2017-0158,2017-12-18,CONDUCTOR
284,2017-0159,2017-12-20,CONDUCTOR
285,2017-0160,2017-12-22,PEATON
286,2017-0161,2017-12-26,PEATON
287,2018-0001,2018-01-01,PEATON
288,2018-0002,2018-01-03,CICLISTA
289,2018-0003,2018-01-05,PEATON
290,2018-0004,2018-01-09,CONDUCTOR
291,2018-0005,2018-01-09,PEATON
292,2018-0006,2018-01-10,CICLISTA
293,2018-0007,2018-01-11,CONDUCTOR
294,2018-0008,2018-01-12,CONDUCTOR
295,2018-0009,2018-01-14,CONDUCTOR
296,2018-0010,2018-01-18,CONDUCTOR
297,2018-0011,2018-01-19,PEATON
298,2018-0012,2018-01-26,CONDUCTOR
299,2018-0013,2018-01-28,CONDUCTOR
300,2018-0014,2018-01-31,PEATON
301,2018-0015,2018-02-06,CONDUCTOR
302,2018-0015,2018-02-06,PASAJERO_ACOMPANANTE
303,2018-0016,2018-02-15,CONDUCTOR
304,2018-0017,2018-02-17,PEATON
305,2018-0018,2018-02-17,CONDUCTOR
306,2018-0019,2018-02-17,PEATON
307,2018-0020,2018-02-19,CONDUCTOR
308,2018-0021,2018-02-22,PEATON
309,2018-0022,2018-02-24,CONDUCTOR
310,2018-0023,2018-02-24,CONDUCTOR
311,2018-0024,2018-02-28,PEATON
312,2018-0025,2018-03-04,PEATON
313,2018-0026,2018-03-09,CONDUCTOR
314,2018-0026,2018-03-09,PASAJERO_ACOMPANANTE
315,2018-0027,2018-03-11,PEATON
316,2018-0028,2018-03-13,PEATON
317,2018-0029,2018-03-15,CONDUCTOR
318,2018-0030,2018-03-20,CONDUCTOR
319,2018-0031,2018-03-28,CONDUCTOR
320,2018-0032,2018-04-02,PEATON
321,2018-0033,2018-04-07,CONDUCTOR
322,2018-0034,2018-04-11,PEATON
323,2018-0035,2018-04-12,PEATON
324,2018-0036,2018-04-13,CONDUCTOR
325,2018-0037,2018-04-18,PEATON
326,2018-0038,2018-04-20,PEATON
327,2018-0038,2018-04-20,PEATON
328,2018-0039,2018-04-21,PEATON
329,2018-0040,2018-04-27,PEATON
330,2018-0041,2018-04-27,PEATON
331,2018-0042,2018-04-27,PASAJERO_ACOMPANANTE
332,2018-0043,2018-04-28,CONDUCTOR
333,2018-0044,2018-04-28,PEATON
334,2018-0045,2018-04-30,CONDUCTOR
335,2018-0046,2018-05-02,PEATON
336,2018-0047,2018-05-08,PEATON
337,2018-0048,2018-05-09,PEATON
338,2018-0049,2018-05-11,PEATON
339,2018-0050,2018-05-14,PEATON
340,2018-0051,2018-05-15,PEATON
341,2018-0052,2018-05-18,PEATON
342,2018-0053,2018-05-20,CONDUCTOR
343,2018-0054,2018-05-22,PEATON
344,2018-0055,2018-05-29,CONDUCTOR
345,2018-0056,2018-06-02,PEATON
346,2018-0057,2018-06-03,CONDUCTOR
347,2018-0058,2018-06-03,CONDUCTOR
348,2018-0059,2018-06-08,CONDUCTOR
349,2018-0060,2018-06-08,PEATON
350,2018-0061,2018-06-10,CONDUCTOR
351,2018-0062,2018-06-14,PEATON
352,2018-0063,2018-06-16,PEATON
353,2018-0064,2018-06-25,CONDUCTOR
354,2018-0065,2018-06-26,CONDUCTOR
355,2018-0066,2018-06-28,PEATON
356,2018-0067,2018-06-29,PASAJERO_ACOMPANANTE
357,2018-0068,2018-07-01,CONDUCTOR
358,2018-0069,2018-07-04,CICLISTA
359,2018-0070,2018-07-07,CONDUCTOR
